Site_ID,Site_Type,Site_Name,State,Latitude,Longitude,Lat_Long_Datum,Lat_Long_Source,Elevation_in_Meters,Elevation_Source,Degree_of_Development_Surrounding_Site,Landscape_Description,Proximity_to_Road,Proximity_to_Permanent_Water,Area_of_Site,Type_of_Forest_at_Site,Presence_of_Slope,Location_Relative_to_Slope,Slope_Aspect,Presence_of_Domesticated_Cats,Presence_of_Domesticated_Dogs,Presence_of_Domesticated_Animals,Presence_of_Garden,Presence_of_Bird_Feeder,Presence_of_Nesting_Box,Presence_of_Fruit,Presence_of_Birdbath,Presence_of_Other_Features_Designed_to_Attract_Animals,Site_Comments,Site_Registration_Date
606,Personal,PPN_9390006,SD,44.07,-103.324402,WGS84,User,1118,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_9390006,
613,Personal,PPN_9400009,TN,36.080002,-86.833,WGS84,User,218,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,Plant Phenology Network station PPN_9400009,
681,Personal,PPN_9480003,WY,41.296783,-105.5746,WGS84,Google Maps,2196,User,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",,,,,,1,1,,,1,,Plant Phenology Network station PPN_9480003 at an elevation of 7211 feet.,
754,Personal,My Place,IA,42.199036,-91.654839,,,283,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
771,Personal,Aton Forest Headquarters,CT,42.026855,-73.136116,,,445,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
850,Personal,back yard,CT,41.712101,-72.52552,,,113,Auto-USGS-WebService,Rural,"Agricultural field, cropland or pasture",50 ft,150 ft,1500 ft2,,"No, the surrounding terrain is relatively flat",,,,,,,,,,,,Pond,
867,Personal,Heron Valley Farm,PA,39.859409,-76.65818,,,163,Auto-USGS-WebService,Rural,Forest or woodland,,,,"Mostly deciduous trees (for example, maple or larch)",,At the bottom of the slope or in a valley between slopes,Northwest,,,,,,,,,,,
965,Personal,Mebane Labyrinth,NC,36.109207,-79.220932,,,215,Auto-USGS-WebService,Rural,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",5 yd,0.25 mi,1 ac,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",,,1,,,1,1,1,1,,,,
1007,Personal,home,NJ,39.955685,-74.874466,,,13,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1051,Personal,Villager Nursery,CA,39.326412,-120.195107,,,1793,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1099,Personal,my front yard,MD,39.026527,-77.077591,,,93,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1101,Personal,my backyard,MD,39.026527,-77.077591,,,93,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1109,Personal,Home,WY,44.750778,-108.767281,,,1344,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1191,Personal,home,IL,42.25259,-87.955826,,,211,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1255,Personal,my back yard,MD,38.970875,-77.131508,,,74,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1274,Personal,Home,WA,47.754948,-122.357971,,,98,Auto-USGS-WebService,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",3 ft,0.25 mi,0.25 ac,"Mostly deciduous trees (for example, maple or larch)","Yes, and the site is...",At the bottom of the slope or in a valley between slopes,West,1,,,1,1,,,,,,
1305,Personal,BackYard,VA,38.066177,-78.699104,,,213,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1327,Personal,my NE side yard,MA,42.546036,-71.3545,,Google Maps,87,Auto-USGS-WebService,Suburban,Forest or woodland,,,,"Mostly evergreen trees (for example, pine or live oak)",,On the top of the slope or on a ridge,East,,,,,,,,,,The open area to the south is an old apple orchard with scattered apple trees. The wooded area to the north is mostly tall White Pine. The site is at the woodland edge along an old stone wall that runs east - west. There is a large old oak tree along the wall as well. ,
1330,Group,USGS Headquarters ,VA,38.947868,-77.362717,,,122,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1338,Personal,My back yard,OR,44.033802,-122.977631,,,146,Auto-USGS-WebService,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,,"No, the surrounding terrain is relatively flat",,,,,,,,,,,,,
1380,Group,Santa Barbara Botanic Garden,CA,34.457253,-119.709938,,Google Maps,229,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1419,Personal,backyard,IL,42.011166,-88.503304,,Google Maps,280,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1444,Personal,my back yard,NY,42.722549,-78.84343,,Google Maps,241,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1447,Personal,Home,MI,42.176537,-85.892448,WGS84,Google Maps,230,Google Elevation Service,Rural,"Shrubland, shrub thicket or shrubby field (with few tall trees)",50 yd,4 mi,10 ac,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",,,,,,,,,,,,,
1461,Personal,backyard,MI,42.283501,-83.771729,,Google Maps,275,Auto-USGS-WebService,Urban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",,,,,,,,,,,,,
1464,Personal,Furfield Cottage Garden,VA,38.971748,-77.730919,,Google Maps,133,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1484,Personal,Kruckeberg Garden,WA,47.776241,-122.377419,,Google Maps,98,Auto-USGS-WebService,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",10 ft,0.5 mi,4 ac,A mixture of evergreen and deciduous trees,"Yes, and the site is...",In the middle of the slope,West,1,1,,0,1,1,,,,,
1495,Personal,Rock Bridge,TN,36.533127,-86.367813,,Google Maps,281,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1559,Personal,The Callahans,CA,39.289673,-123.373718,WGS84,Google Maps,212,User,Rural,Forest or woodland,200 yd,3 mi,5 ac,"Mostly evergreen trees (for example, pine or live oak)","Yes, and the site is...",In the middle of the slope,North,1,1,Horses,1,1,,1,1,,,
1579,Personal,my front yard,KY,38.25724,-85.633087,,Google Maps,164,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1580,Personal,my back yard,KY,38.25729,-85.633453,,Google Maps,164,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1605,Personal,SUNY Stony Brook,NY,40.907997,-73.120705,,Google Maps,58,Auto-USGS-WebService,Suburban,Forest or woodland,,,,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",,,,,,,,,,,,"The name of this site is called the Ashley Schiff Preserve and it is located on the State University of NY Stony Brook campus. It is roughly 26 acres in size and is a woodlot predominantly composed of oak, maple, and eastern hophornbeam. The soil is mostly made of deposited glacial sediments.  It is surrounded by suburbs.",
1624,Personal,my community garden,NY,40.75375,-73.885437,,Google Maps,19,Auto-USGS-WebService,Urban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",2 ft,5 mi,100 ft2,,,,,,,,,,,,,,The measurements are an estimation based on a rounding up of a quarter of a city block and the distance to the nearest waterway based on walking from the garden to Flushing Bay.,
1625,Personal,front flower bed,NY,40.752914,-73.888695,,Google Maps,20,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1668,Group,Spicebush Trail,NY,40.866283,-73.875717,,Google Maps,21,Auto-USGS-WebService,Urban,Forest or woodland,,,,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",On the top of the slope or on a ridge,,,,,1,,,,,,,
1856,Personal,backyard,AZ,32.375652,-110.997871,WGS84,Google Maps,755,Auto-USGS-WebService,Suburban,Other (please describe in comments box),60 ft,0 mi,1 ac,"Mostly evergreen trees (for example, pine or live oak)","Yes, and the site is...",In the middle of the slope,Northwest,,,,,1,,,,,native desert veg,
1900,Personal,home,MO,36.736485,-93.127144,,Google Maps,265,Auto-USGS-WebService,Rural,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,A mixture of evergreen and deciduous trees,,,,,,,,,,,,,,
1904,Personal,Home,MN,47.143215,-93.431,WGS84,Google Maps,394,Google Elevation Service,Rural,Forest or woodland,0.3 mi,300 ft,40 ac,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",,,,,,,,,,,,"The site is a mixture of northern hardwoods, aspen (P. Tremuloides, P. grandidentata) a plantation of red pine and white spruce, tamarack, and an occasional white pine. Along with 20 acres of wetlands predominantly Black Spruce and Tamarack.",
1915,Group,Cary Institute PSB,NY,41.78344,-73.732552,,Google Maps,128,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1918,Personal,frontyard,AZ,32.37611,-110.997795,WGS84,Google Maps,748,Auto-USGS-WebService,Suburban,Other (please describe in comments box),20 ft,0 mi,0.25 ac,"Mostly evergreen trees (for example, pine or live oak)","Yes, and the site is...",In the middle of the slope,Northwest,,,,,1,,,,,unpaved driveway with native desert veg and some semi-native ornamentals,
1976,Personal,Georgias_home,NH,43.983383,-71.122932,,Google Maps,144,Auto-USGS-WebService,Rural,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",20 ft,300 yd,10 ft2,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",,,1,1,,1,,1,,,,,
1977,Group,Pinkham Notch Visitor Center,NH,44.258476,-71.252747,,Google Maps,622,Auto-USGS-WebService,Wildlands or semi-wildlands,Forest or woodland,40 ft,100 ft,2 ft2,A mixture of evergreen and deciduous trees,"Yes, and the site is...",At the bottom of the slope or in a valley between slopes,East,,,,1,,,,,,Site behind small building located behind trading post,
1978,Personal,Home,OH,41.480267,-81.99501,,Google Maps,190,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
2099,Personal,home,AK,58.402012,-134.588974,,Google Maps,15,Auto-USGS-WebService,Suburban,Forest or woodland,70 ft,30 ft,,"Mostly evergreen trees (for example, pine or live oak)","No, the surrounding terrain is relatively flat",,,1,,,1,1,1,,1,,"Because a creek is adjacent to property, the small (decorative) artificial pond is not used by birds or other wildlife.",
2119,Group,Bridge Trail,NY,40.862221,-73.875191,,Google Maps,26,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
2120,Group,Ridge Trail,NY,40.863445,-73.876656,,Google Maps,43,Auto-USGS-WebService,,,,,,,,,,,,,1,,,,,,,
2222,Personal,My NW side yard,MA,42.545998,-71.355217,,Google Maps,91,Auto-USGS-WebService,Suburban,Forest or woodland,,,,"Mostly evergreen trees (for example, pine or live oak)",,On the top of the slope or on a ridge,Southeast,,,,,,,,,,,
2393,Personal,Beckman Lake Bog (Cedar Creek LTER),MN,45.421753,-93.186989,,Google Maps,279,Auto-USGS-WebService,Wildlands or semi-wildlands,Forested wetland (such as swamp or mangrove),,,,"Mostly evergreen trees (for example, pine or live oak)","Yes, and the site is...",At the bottom of the slope or in a valley between slopes,,,,,,,,,,,,
2394,Personal,Beckman Lake Highland (Cedar Creek LTER),MN,45.425339,-93.186249,,Google Maps,280,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
2395,Personal,PhenoCAM tower (Cedar Creek LTER),MN,45.402004,-93.204147,,Google Maps,277,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
2461,Group,The Arnold Arboretum of Harvard University,MA,42.307705,-71.119911,,Google Maps,14,Auto-USGS-WebService,Urban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,281 ac,,,,,,,,,,,,,,Station Number 199901,
2669,Personal,home,PA,40.775406,-77.789986,,Google Maps,335,Auto-USGS-WebService,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",30 ft,0.5 mi,0.3 ac,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",,,1,,,1,1,1,1,1,,This is a typical neighborhood backyard.,
2772,Personal,My holler,TN,36.440838,-84.323586,WGS84,Google Maps,384,Google Elevation Service,Rural,Forest or woodland,0.25 mi,30 yd,1 ac,A mixture of evergreen and deciduous trees,"Yes, and the site is...",At the bottom of the slope or in a valley between slopes,Southeast,1,1,,1,,1,1,1,,site is a forested area at intersection of 2 streams; there is a man made pond about 75 yards from the house; my property borders on a Tennessee Wildlife Management Area (Royal Blue).,
2792,Personal,home,NC,35.64893,-78.816948,,Google Maps,115,Auto-USGS-WebService,Suburban,Other (please describe in comments box),0 ft,0 ft,0.67 ac,,,,,,,,0,,,,,,yard with wooded wetland area and pond,
2803,Personal,PPN_9050018,CO,39.971001,-105.397003,,User,2397,Auto-USGS-WebService,,,,,,,,,,,,,0,,,,,,Plant Phenology Network station PPN_9050018,
4845,Personal,Home,NY,42.219055,-73.873741,,Google Maps,36,Auto-USGS-WebService,Urban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",20 ft,1 mi,0.2 ac,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",,,1,1,,1,1,1,,,,,
5206,Personal,Mirror Lake - NBG,VA,36.902622,-76.206039,,Google Maps,3,Auto-USGS-WebService,Urban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",100 ft,25 ft,,,,,,,,,0,,,,,,,2011-02-08
5207,Personal,VA Natives Garden - NBG,VA,36.904579,-76.19651,,Google Maps,2,Auto-USGS-WebService,Urban,Forested wetland (such as swamp or mangrove),200 ft,10 ft,,,,,,,,,0,,,,,,,2011-02-08
5208,Personal,Enchanted Forest - NBG,VA,36.90799,-76.196022,,Google Maps,1,Auto-USGS-WebService,Urban,Forest or woodland,200 ft,20 ft,,,,,,,,,0,,,,,,,2011-02-08
5220,Personal,home,WA,47.255966,-122.185921,,Google Maps,163,Auto-USGS-WebService,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",70 ft,0.5 mi,0.5 ac,,,,,,,,0,,,,,,,2011-02-12
5261,Personal,First Meadow,MA,42.448402,-72.345314,,Google Maps,273,Auto-USGS-WebService,Wildlands or semi-wildlands,"Grassland, meadow or tundra",0 ft,20 ft,10 ac,,,,,,,,0,,,,,,"Several apple trees on this site. Now feral.  They are either leftovers from when the land was inhabited (circa 1930s) or descendants of trees from that time.  Other species of interest: forsythia, daisies, black-eyed susan, milkweed, goldenrod.  Maple and oak border the meadow, as do several beaver bogs/ponds.",2011-03-01
5262,Personal,Big Meadow North,MA,42.442348,-72.346504,,Google Maps,286,Auto-USGS-WebService,Wildlands or semi-wildlands,"Grassland, meadow or tundra",10 ft,0.5 mi,18 ac,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",,,,,,0,,,,,,"This site on Prescott Peninsula has been uninhabited since the 1930s. It is kept as meadow by mowing (formerly burning).  Narrow, long, north-south orientation. Contains a narrow strip of north-south running wetlands starting at a vernal pool just outside its southern border (see Big Meadow South).",2011-03-01
5287,Personal,Front Yard,WV,39.365467,-77.798157,,Google Maps,155,Auto-USGS-WebService,Rural,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",300 yd,2 mi,625 ft2,,,,,,,,0,,,,,,Selected an open area in a sunny lawn and created a mulched bed to accommodate the cloned lilac seedlings.,2011-03-11
5288,Personal,Watershed,WA,47.952686,-121.861725,,Google Maps,296,Auto-USGS-WebService,Wildlands or semi-wildlands,Forest or woodland,40 yd,100 yd,20 ac,,,,,,,,0,,,,,,Section of forest land between Lake Chaplain and Lost lakewithin the watershed.,2011-03-12
5327,Personal,Montgomery/WeiblenHome,MN,44.989223,-93.193871,,Google Maps,309,Auto-USGS-WebService,Urban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",5 ft,,,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",,,1,,,1,,,1,,,,2011-03-25
5328,Personal,yard on julie,MI,42.204594,-85.609924,,Google Maps,271,Auto-USGS-WebService,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",15 ft,2 mi,500 ft2,,,,,,,,0,,,,,,,2011-03-25
5334,Personal,front yard,KY,36.693665,-88.278969,,Google Maps,133,Auto-USGS-WebService,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",30 ft,10 mi,1.5 ac,,,,,,,,0,,,,,,"i have 2 lilacs (cloned) that are located in my front yard both in similar amounts of sun/moisture, etc.",2011-03-27
5389,Group,CPP-JOTR-HIVI1,CA,34.072514,-116.393616,,Google Maps,1255,Auto-USGS-WebService,Wildlands or semi-wildlands,Other (please describe in comments box),0.61 mi,,,,,,,,,,0,,,,,,Joshua Tree woodland,2011-04-05
5390,Group,CPP-JOTR-HIVI2,CA,34.07391,-116.395889,,Google Maps,1256,Auto-USGS-WebService,Wildlands or semi-wildlands,,,,,,,,,,,,0,,,,,,,2011-04-05
5391,Group,CPP-JOTR-HIVI3,CA,34.074165,-116.397713,,Google Maps,1263,Auto-USGS-WebService,Wildlands or semi-wildlands,,,,,,,,,,,,0,,,,,,,2011-04-05
5392,Group,CPP-JOTR-HIVI4,CA,34.075455,-116.399101,,Google Maps,1255,Auto-USGS-WebService,,,,,,,,,,,,,0,,,,,,,2011-04-05
5393,Group,CPP-JOTR-HIVI5,CA,34.074932,-116.398544,,Google Maps,1257,Auto-USGS-WebService,Wildlands or semi-wildlands,,,,,,,,,,,,0,,,,,,,2011-04-05
5394,Group,CPP-JOTR-HIVI6,CA,34.07452,-116.399017,,Google Maps,1265,Auto-USGS-WebService,Wildlands or semi-wildlands,,,,,,,,,,,,0,,,,,,,2011-04-05
5395,Group,CPP-JOTR-HIVI7,CA,34.072765,-116.399208,,Google Maps,1299,Auto-USGS-WebService,Wildlands or semi-wildlands,,,,,,,,,,,,0,,,,,,,2011-04-05
5428,Personal,cabin,WA,48.033489,-122.598724,,Google Maps,39,Auto-USGS-WebService,Rural,Forest or woodland,5 ft,0.25 mi,1 ac,,,,,,,,0,,,,,,,2011-04-10
5442,Group,CPP-JOTR-OAVC1,CA,34.12822,-116.039612,,Google Maps,602,Auto-USGS-WebService,,,,,,,,,,,,,0,,,,,,,2011-04-12
5443,Group,CPP-JOTR-RYAN1,CA,34.002831,-116.136086,,Google Maps,1340,Auto-USGS-WebService,,,,,,,,,,,,,0,,,,,,,2011-04-12
5444,Group,CPP-JOTR-RYAN2,CA,34.000004,-116.135208,,Google Maps,1378,Auto-USGS-WebService,,,,,,,,,,,,,0,,,,,,,2011-04-12
5445,Group,CPP-JOTR-RYAN3,CA,33.998577,-116.136192,,Google Maps,1424,Auto-USGS-WebService,,,,,,,,,,,,,0,,,,,,,2011-04-12
5446,Group,CPP-JOTR-RYAN4,CA,33.996372,-116.135361,,Google Maps,1478,Auto-USGS-WebService,,,,,,,,,,,,,0,,,,,,,2011-04-12
5447,Group,CPP-JOTR-RYAN5,CA,33.99416,-116.134819,,Google Maps,1522,Auto-USGS-WebService,,,,,,,,,,,,,0,,,,,,,2011-04-12
5448,Group,CPP-JOTR-RYAN6,CA,33.992786,-116.134865,,Google Maps,1546,Auto-USGS-WebService,,,,,,,,,,,,,0,,,,,,,2011-04-12
5449,Group,CPP-JOTR-RYAN7,CA,33.990734,-116.134064,,Google Maps,1594,Auto-USGS-WebService,,,,,,,,,,,,,0,,,,,,,2011-04-12
5470,Personal,11,SC,34.871006,-82.358704,WGS84,Google Maps,298,Google Elevation Service,Urban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",20 ft,100 ft,1000 ft2,,,,,,,,0,,,,,,,2011-04-14
5509,Personal,Cedar Bog Lake Highland 2,MN,45.407852,-93.199257,User,User,275,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,2011-04-19
5523,Personal,my back yard,ME,43.692337,-70.270424,,Google Maps,32,Auto-USGS-WebService,Suburban,"Shrubland, shrub thicket or shrubby field (with few tall trees)",50 ft,1.5 mi,25 ft2,,,,,,,,0,,,,,,Following a single tree (red maple (?) in a semi-cleared back yard with oak and pine and blueberry bushes near by.  No grass.,2011-04-24
5533,Group,Zumwalt Prairie / Shrub,OR,45.568195,-116.973862,WGS84,Google Maps,1382,Auto-USGS-WebService,Wildlands or semi-wildlands,Other (please describe in comments box),60 yd,300 yd,0.2 ac,,,,,,,,0,,,,,,"Intact upland bunchgrass prairie occasionally grazed by cattle, but livestock grazing has been excluded from the general area of the phenology site.",2011-04-25
5536,Group,SERC - Moore Backyard,ME,44.334862,-68.060776,,Google Maps,24,Auto-USGS-WebService,Wildlands or semi-wildlands,Forest or woodland,30 yd,0.15 mi,,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",,,,,,1,,,,,,Site is along the forest edge behind the Moore Auditorium on the campus of the Schoodic Education and Research Center. It sits above the Atlantic Ocean on the Schoodic Penninsula.,2011-04-26
5582,Personal,My yard,ME,45.195858,-70.45369,,Google Maps,360,Auto-USGS-WebService,Rural,Forest or woodland,20 ft,150 ft,2 ac,,,,,,,,0,,,,,,Yard and surrounding forest,2011-05-02
5583,Personal,Flagstaff Lake,ME,45.196041,-70.459015,,Google Maps,349,Auto-USGS-WebService,Rural,,20 ft,1 ft,15 ac,,,,,,,,0,,,,,,Lake both north and south of this point.,2011-05-02
5674,Personal,meadow near my pond,ME,44.910587,-70.266861,,Google Maps,249,Auto-USGS-WebService,Rural,"Grassland, meadow or tundra",400 ft,20 ft,400 ft2,,,,,,,,0,,,,,,,2011-05-16
5744,Group,Lilac--SC,OR,45.575886,-116.967896,,Google Maps,1329,Auto-USGS-WebService,Wildlands or semi-wildlands,"Grassland, meadow or tundra",50 ft,100 ft,1 sqyd,,"Yes, and the site is...",On the top of the slope or on a ridge,,,,,0,,,,,,NPN lilac clone located at The Nature Conservancy's summer facilities on the Zumwalt Prairie Preserve. Lilac is enclosed in a hog wire exclosure to prevent browse. Planted spring 2010.,2011-05-31
5745,Group,Lilac--Starship,OR,45.41737,-117.277649,,Google Maps,1145,Auto-USGS-WebService,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",50 ft,200 yd,0.5 ac,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",,,,,,0,,,,,,2 NPN lilac clones planted here. See plants for more info.,2011-05-31
