Person_ID,Read_Online_Training_Materials,Trained_in_Person,Place_of_Training,Ecological_Experience,Eco_Experience_Comments,Self-Described_Naturalist,Naturalist_Skill_Level,Participation_as_Part_of_Job,Type_of_Job,Job_Comments,LPL_Certified_Date
4015,2011-10-16 00:00:00,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).,I have a college degree in a field related to ecology/nature.,I have a graduate degree in a field related to ecology/nature.",,1,Advanced,,Ecology/Science,,
4109,,,,,,,,,,,
4128,2011-11-28 00:00:00,,John Muir National Historic Site,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).,I have a college degree in a field related to ecology/nature.",,,Intermediate,,Ecology/Science,,
4158,,,,,,,,,,,
4196,2012-01-31 00:00:00,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).,I have a graduate degree in a field related to ecology/nature.",Horticulture,1,Intermediate,,,,
4260,2012-02-18 00:00:00,,,,,1,Intermediate,,Education/Outreach,,
4279,,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).",,,,,,,
4281,2012-02-21 00:00:00,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).",,1,Intermediate,,,,
4326,,2012-02-26 00:00:00,,I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,,,Beginner,,,On Holiday,
4344,2012-02-29 00:00:00,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).",,1,Intermediate,,Ecology/Science,,
4360,2011-06-18 00:00:00,2011-06-18 00:00:00,"Pinellas County Extension Service  Largo, Florida",,,1,Beginner,,,,
4408,,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have a graduate degree in a field related to ecology/nature.",,1,Advanced,,Ecology/Science,,
4454,,,,"I have a college degree in a field related to ecology/nature.,I have a graduate degree in a field related to ecology/nature.",,,,,,,
4493,2012-03-17 00:00:00,2012-03-17 00:00:00,"TOTE Wells Reserve, ",I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,,1,Intermediate,,Education/Outreach,,
4619,,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).,I have a college degree in a field related to ecology/nature.",40 years as rangeland manangement specialist USDA and private consultant,1,Advanced,,Ecology/Science,,
4712,,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).",,,,,,,
4828,2012-04-12 00:00:00,,,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).,,1,Intermediate,,,"My own enjoyment, have yard data on animals for many years",
4867,2012-04-13 00:00:00,2012-04-13 00:00:00,Online,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).,I have a college degree in a field related to ecology/nature.",,,,,,,
4868,2012-04-13 00:00:00,,,,,1,Beginner,,Education/Outreach,,
4956,2012-04-20 00:00:00,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).,I have a college degree in a field related to ecology/nature.,I have a graduate degree in a field related to ecology/nature.",,1,Advanced,,,Retired,
5005,2012-04-23 00:00:00,,,,,1,Advanced,1,Ecology/Science,,
5065,2012-04-27 00:00:00,2012-04-27 00:00:00,"Monmouth, ME",,,,Beginner,,,,
5254,,2012-04-18 00:00:00,Springvale ME,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).",,,,,,,
5288,2012-05-28 00:00:00,,,I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,,,,,,,
5325,,2012-05-26 00:00:00,"UC Rancho Marina Reserve, Cambria, California",I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,,,,,,,
5438,2012-06-29 00:00:00,2012-06-11 00:00:00,Lava Beds National Monument,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).,I have a college degree in a field related to ecology/nature.",,1,Intermediate,,Ecology/Science,,
5487,2012-07-17 00:00:00,2014-02-11 00:00:00,Webinar,,,1,Advanced,1,Education/Outreach,,0000-00-00 00:00:00
5499,,,,I have a college degree in a field related to ecology/nature.,,1,Beginner,,Ecology/Science,,
5504,,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).",Biology and Botany,1,Intermediate,,,"Computers, but volunteer for NAAMP, NABA, Audubon. 200 images on Bugguide",
13304,2012-08-04 00:00:00,,,I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have studied origins and cultivation of lilacs for several years.,,,,,I am an elected director of International Lilac Society,
13335,,,,I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,,,,,,"Volunteer restoring historic gardens, native habitat",
13375,2012-10-09 00:00:00,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).,I have a college degree in a field related to ecology/nature.,I have a graduate degree in a field related to ecology/nature.",PhD in Entomology,1,Advanced,,Ecology/Science,,
13431,,2012-09-13 00:00:00,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).",,,Intermediate,,Education/Outreach,,
13457,,2012-09-18 00:00:00,"Arcata, CA","I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have a college degree in a field related to ecology/nature.,I have a graduate degree in a field related to ecology/nature.",,1,Intermediate,,,,
13747,2012-10-27 00:00:00,2012-09-25 00:00:00,Leonore Curtin Wetlands Preserve,"I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).,I have a graduate degree in a field related to ecology/nature.",,1,Intermediate,,Ecology/Science,,
13832,,,,,,,,,,,
13901,,,,,,1,Beginner,,Education/Outreach,,2017-03-31 00:00:00
13947,2013-01-06 00:00:00,,,,Beekeeper,1,Beginner,,,,
14014,,,,,,,,,,,
14109,,,,,,,,,,,
14200,,,,,,,,,,,
14230,,,,,,,,,,,
14235,,,,,,,,,,,
14453,,,,,,,,,,,
14531,,,,,,,,,,,
14533,2014-02-05 00:00:00,,,,I am a Colorado Master Gardener and a novice Native Plant Master,1,Beginner,,,,
14576,2013-08-22 00:00:00,,,,Project Budburst online courses,1,Intermediate,1,Education/Outreach,,2017-03-31 00:00:00
14587,,,,,,,,,,,
14698,,,,,,,,,,,
14713,,,,,,,,,,,
14714,,,,,,,,,,,
14720,,,,,,,,,,,
14736,,,,,,,,,,,
14787,,,,,,,,,,,
14797,,,,,,,,,,,
14837,,2013-03-26 00:00:00,Highlands Center for Natural History,,,1,Beginner,,,,
14851,2013-04-09 00:00:00,,,,,1,Intermediate,,,,
14892,,,,,,,,,,,
14902,,,,,,,,,,,
14915,,,,,,,,,,,
14935,,,,,,,,,,,
14979,,,,,,1,Intermediate,,,,
14993,,,,,,,,,,,
15064,,,,,,,,,,,
15403,,,,,,,,,,,
15645,,,,,,,,,,,
15943,2013-07-30 00:00:00,,,,,1,Intermediate,,,,
16551,,,,,,,,,,,
16573,,,,,,,,,,,
17201,,,,,,,,,,,
17354,,,,,,,,,,,
17581,,,,,,,,,,,
17778,,,,,,,,,,,
17833,,,,,,,,,,,
17869,,,,,,,,,,,
17927,,,,,,,,,,,
17981,,,,,,,,,,,
17988,,,,,,,,,,,
18005,,,,,,,,,,,
18048,,,,,,,,,,,
18413,,,,,,,,,,,
18664,,,,,,,,,,,
18677,,,,,,,,,,,
18822,,,,,,,,,,,
18933,,,,,,,,,,,
18981,,,,,,,,,,,
19017,2013-10-25 00:00:00,2014-06-10 00:00:00,webinars ,,"I tried to select the first three options above but it doesn't seem to have worked.  In addition, I have participated in a number of citizens science projects in the past eight years.",1,Intermediate,,,,0000-00-00 00:00:00
19057,,,,,,,,,,,
19117,,,,,,1,Intermediate,,,,
19119,2014-02-01 00:00:00,2014-02-01 00:00:00,University of Arizona,,,1,Intermediate,,,,
19141,,,,,,,,,,,
19142,,,,,,,,,,,0000-00-00 00:00:00
19187,,,,,,,,,,,
19226,,,,,,,,,,,
19414,,,,,,,,,,,2017-03-27 00:00:00
19467,,,,,,,,,,,
19582,,,,,,,,,,,
19587,,,,,,,,,,,
19703,,,,,,,,,,,
19720,2014-03-01 00:00:00,2008-09-01 00:00:00,NYBG,,,1,Intermediate,,,,
19764,,,,,,,,,,,
19797,,,,,,,,,,,
19824,,,,,,,,,,,
19859,,,,,,,,,,,
19884,,,,,,,,,,,
19888,,,,,,,,,,,
19889,,,,,,,,,,,
19953,,,,,,,,,,,
20084,,,,,,,,,,,
20137,,,,,,,,,,,
20139,,,,,,,,,,,
20202,2014-04-08 00:00:00,,,,,1,Advanced,,Ecology/Science,,
20232,,,,,,,,,,,
20260,,,,,,,,,,,
20264,,,,,,,,,,,
20291,,,,,,,Advanced,,,,
20370,2014-04-11 00:00:00,,,,,1,Intermediate,,,,
20373,,,,,,,,,,,
20394,,,,,,,,,,,
20522,,,,,,,,,,,
20605,,,,,,,,,,,
20615,,,,,,,,,,,
20677,,,,,,,,,,,
20789,,,,,,,,,,,
20827,,,,,,,,,,,
20998,,,,,,,,,,,
21018,,,,,,,,,,,
21184,,,,,,,,,,,
21236,,,,,,,,,,,
21370,,,,,,,,,,,
21569,,,,,,,,,,,
21603,,,,,,,,,,,
21946,,,,,,,,,,,
22010,,,,,,,,,,,
22037,,,,,,,,,,,
22112,,,,,,,,,,,
22138,,,,,,,,,,,
22174,,,,,,,,,,,
22261,,,,,,,,,,,
22493,,,,,,,,,,,
22628,,,,,,,,,,,
22746,,,,,,,,,,,
22812,,,,,,,,,,,2016-10-08 00:00:00
22815,,,,,,,,,,,
22908,,,,,,,,,,,
22914,,,,,,,,,,,
22942,,,,,,,,,,,
23005,,,,,,,,,,,
23112,,,,,,,,,,,
23116,,,,,,,,,,,
23263,,,,,,,,,,,
23274,,,,,,,,,,,
23295,,,,,,,,,,,
23369,,,,,,,,,,,
23378,,,,,,,,,,,
23535,,,,,,,,,,,
23640,,,,,,,,,,,
23715,,,,,,,,,,,0000-00-00 00:00:00
23753,,,,,,,,,,,
23799,,,,,,,,,,,
23865,,,,,,,,,,,
23906,,,,,,,,,,,
23911,,,,,,,,,,,
23918,,,,,,,,,,,
23941,,,,,,,,,,,2017-03-31 00:00:00
23987,,,,,,,,,,,
24007,,,,,,,,,,,
24016,,,,,,,,,,,
24022,,,,,,,,,,,
24070,,,,,,,,,,,
24260,,,,,,,,,,,
24280,,,,,,,,,,,
24287,,,,,,,,,,,
24300,,,,,,,,,,,
24304,,,,,,,,,,,
24369,,,,,,,,,,,
24396,,,,,,,,,,,
24432,,,,,,,,,,,
24466,,,,,,,,,,,
24482,,,,,,,,,,,
24514,,,,,,,,,,,
24561,,,,,,,,,,,
24623,,,,,,,,,,,
24684,,,,,,,,,,,
24686,,,,,,,,,,,
24709,,,,,,,,,,,
24716,,,,,,,,,,,
24872,,,,,,,,,,,
25145,,,,,,,,,,,
25314,,,,,,,,,,,2016-10-08 00:00:00
25334,,,,,,,,,,,
25335,,,,,,,,,,,
25402,,,,,,,,,,,
25405,,,,,,,,,,,
25444,,,,,,,,,,,
25474,,,,,,,,,,,
25505,,,,,,,,,,,
25556,,,,,,,,,,,
25580,,,,,,,,,,,
25711,,,,,,,,,,,
25757,,,,,,,,,,,
25786,,,,,,,,,,,
25865,,,,,,,,,,,
25871,,,,,,,,,,,
25906,,,,,,,,,,,
25920,,,,,,,,,,,0000-00-00 00:00:00
25953,,,,,,,,,,,
25983,,,,,,,,,,,
26050,,,,,,,,,,,
26122,,,,,,,,,,,
26155,,,,,,,,,,,
26228,,,,,,,,,,,
26325,,,,,,,,,,,
26398,,,,,,,,,,,
26427,,,,,,,,,,,
26490,,,,,,,,,,,
26842,,,,,,,,,,,
26846,,,,,,,,,,,
27117,,,,,,,,,,,
27140,,,,,,,,,,,
27154,,,,,,,,,,,
27360,,,,,,,,,,,
27534,,,,,,,,,,,
27611,,,,,,,,,,,
27612,,,,,,,,,,,
27688,,,,,,,,,,,
27914,,,,,,,,,,,
27925,,,,,,,,,,,
27946,,,,,,,,,,,
28002,,,,,,,,,,,
28136,,,,,,,,,,,
28233,,,,,,,,,,,0000-00-00 00:00:00
28321,,,,,,,,,,,2017-03-31 00:00:00
28365,,,,,,,,,,,
28397,,,,,,,,,,,
28463,,,,,,,,,,,
28543,,,,,,,,,,,
28549,,,,,,,,,,,0000-00-00 00:00:00
28810,,,,,,,,,,,
28846,,,,,,,,,,,
28876,,,,,,,,,,,
28881,,,,,,,,,,,
28911,,,,,,,,,,,
28912,,,,,,,,,,,0000-00-00 00:00:00
28928,,,,,,,,,,,
28931,,,,,,,,,,,
28978,,,,,,,,,,,0000-00-00 00:00:00
29020,,,,,,,,,,,
29067,,,,,,,,,,,
29107,,,,,,,,,,,
29131,,,,,,,,,,,
29188,,,,,,,,,,,
29216,,,,,,,,,,,
29217,,,,,,,,,,,
29218,,,,,,,,,,,
29227,,,,,,,,,,,
29241,,,,,,,,,,,
29375,,,,,,,,,,,
29380,,,,,,,,,,,
29381,,,,,,,,,,,
29483,,,,,,,,,,,
29493,,,,,,,,,,,
29512,,,,,,,,,,,
29559,,,,,,,,,,,
29571,,,,,,,,,,,
29578,,,,,,,,,,,
29589,,,,,,,,,,,
29602,,,,,,,,,,,
29623,,,,,,,,,,,
29690,,,,,,,,,,,
30075,,,,,,,,,,,
30080,,,,,,,,,,,
30107,,,,,,,,,,,
30108,,,,,,,,,,,
30145,,,,,,,,,,,
30171,,,,,,,,,,,
30199,,,,,,,,,,,
30271,,,,,,,,,,,
30276,,,,,,,,,,,
30377,,,,,,,,,,,
30396,,,,,,,,,,,
30501,,,,,,,,,,,
30559,,,,,,,,,,,
30616,,,,,,,,,,,
30619,,,,,,,,,,,0000-00-00 00:00:00
30718,,,,,,,,,,,
30733,,,,,,,,,,,
30750,,,,,,,,,,,
30821,,,,,,,,,,,
30862,,,,,,,,,,,
30990,,,,,,,,,,,
31001,,,,,,,,,,,
31008,,,,,,,,,,,
31028,,,,,,,,,,,
31033,,,,,,,,,,,
31103,,,,,,,,,,,
31110,,,,,,,,,,,0000-00-00 00:00:00
31179,,,,,,,,,,,
31237,,,,,,,,,,,
31240,,,,,,,,,,,
31263,,,,,,,,,,,
31314,,,,,,,,,,,
31421,,,,,,,,,,,
31527,,,,,,,,,,,0000-00-00 00:00:00
31534,,,,,,,,,,,
31600,,,,,,,,,,,
31617,,,,,,,,,,,
31661,,,,,,,,,,,0000-00-00 00:00:00
31737,,,,,,,,,,,0000-00-00 00:00:00
31858,,,,,,,,,,,
31879,,,,,,,,,,,
31917,,,,,,,,,,,
32112,,,,,,,,,,,
32121,,,,,,,,,,,
32180,,,,,,,,,,,
32183,,,,,,,,,,,
32197,,,,,,,,,,,
32207,,,,,,,,,,,
32218,,,,,,,,,,,
32286,,,,,,,,,,,
32417,,,,,,,,,,,
32421,,,,,,,,,,,
32425,,,,,,,,,,,
32459,,,,,,,,,,,
32551,,,,,,,,,,,
32552,,,,,,,,,,,
32605,,,,,,,,,,,
32626,,,,,,,,,,,
32656,,,,,,,,,,,
32668,,,,,,,,,,,
32936,,,,,,,,,,,
32965,,,,,,,,,,,
33030,,,,,,,,,,,
33094,,,,,,,,,,,
33096,,,,,,,,,,,
33206,,,,,,,,,,,
33235,,,,,,,,,,,
33268,,,,,,,,,,,
33297,,,,,,,,,,,
33302,,,,,,,,,,,
33303,,,,,,,,,,,
33313,,,,,,,,,,,
33368,,,,,,,,,,,
33387,,,,,,,,,,,
33391,,,,,,,,,,,
33451,,,,,,,,,,,
33567,,,,,,,,,,,
33614,,,,,,,,,,,
33629,,,,,,,,,,,
33655,,,,,,,,,,,
33728,,,,,,,,,,,
33729,,,,,,,,,,,
33778,,,,,,,,,,,
33846,,,,,,,,,,,
33855,,,,,,,,,,,
33892,,,,,,,,,,,
33952,,,,,,,,,,,
33955,,,,,,,,,,,
34011,,,,,,,,,,,
34019,,,,,,,,,,,
34047,,,,,,,,,,,
34108,,,,,,,,,,,0000-00-00 00:00:00
34132,,,,,,,,,,,
34135,,,,,,,,,,,
34143,,,,,,,,,,,
34145,,,,,,,,,,,
34148,,,,,,,,,,,
34184,,,,,,,,,,,
34294,,,,,,,,,,,
34457,,,,,,,,,,,
34463,,,,,,,,,,,
34498,,,,,,,,,,,0000-00-00 00:00:00
34521,,,,,,,,,,,
34546,,,,,,,,,,,
34553,,,,,,,,,,,
34555,,,,,,,,,,,
34557,,,,,,,,,,,
34561,,,,,,,,,,,
34562,,,,,,,,,,,
34564,,,,,,,,,,,
34586,,,,,,,,,,,
34587,,,,,,,,,,,
34589,,,,,,,,,,,
34592,,,,,,,,,,,
34604,,,,,,,,,,,
34605,,,,,,,,,,,
34606,,,,,,,,,,,
34613,,,,,,,,,,,
34646,,,,,,,,,,,
34706,,,,,,,,,,,
34708,,,,,,,,,,,
34725,,,,,,,,,,,
34727,,,,,,,,,,,
34731,,,,,,,,,,,
34737,,,,,,,,,,,0000-00-00 00:00:00
34756,,,,,,,,,,,
34757,,,,,,,,,,,
34770,,,,,,,,,,,
34786,,,,,,,,,,,
34819,,,,,,,,,,,
34831,,,,,,,,,,,
34876,,,,,,,,,,,
34878,,,,,,,,,,,0000-00-00 00:00:00
34880,,,,,,,,,,,
34881,,,,,,,,,,,
34895,,,,,,,,,,,
34901,,,,,,,,,,,
34944,,,,,,,,,,,
34956,,,,,,,,,,,
35015,,,,,,,,,,,
35260,,,,,,,,,,,
35355,,,,,,,,,,,
35440,,,,,,,,,,,
35524,,,,,,,,,,,
35675,,,,,,,,,,,
35707,,,,,,,,,,,
35728,,,,,,,,,,,
35733,,,,,,,,,,,
35743,,,,,,,,,,,
35751,,,,,,,,,,,
35755,,,,,,,,,,,
35756,,,,,,,,,,,
35860,,,,,,,,,,,
35876,,,,,,,,,,,
35883,,,,,,,,,,,
35896,,,,,,,,,,,
35958,,,,,,,,,,,
35959,,,,,,,,,,,
35989,,,,,,,,,,,
35997,,,,,,,,,,,
36007,,,,,,,,,,,
36059,,,,,,,,,,,
36107,,,,,,,,,,,0000-00-00 00:00:00
36135,,,,,,,,,,,
36196,,,,,,,,,,,
36199,,,,,,,,,,,
36202,,,,,,,,,,,
36232,,,,,,,,,,,
36258,,,,,,,,,,,
36284,,,,,,,,,,,
36317,,,,,,,,,,,
36321,,,,,,,,,,,
36326,,,,,,,,,,,
36346,,,,,,,,,,,
36369,,,,,,,,,,,
36452,,,,,,,,,,,
36476,,,,,,,,,,,
36536,,,,,,,,,,,
36556,,,,,,,,,,,
36571,,,,,,,,,,,
36590,,,,,,,,,,,
36594,,,,,,,,,,,
36680,,,,,,,,,,,
36703,,,,,,,,,,,
36738,,,,,,,,,,,
36740,,,,,,,,,,,
36745,,,,,,,,,,,
36848,,,,,,,,,,,
36853,,,,,,,,,,,
36872,,,,,,,,,,,
36874,,,,,,,,,,,
36896,,,,,,,,,,,
36903,,,,,,,,,,,0000-00-00 00:00:00
36931,,,,,,,,,,,
36975,,,,,,,,,,,0000-00-00 00:00:00
36986,,,,,,,,,,,
37009,,,,,,,,,,,
37065,,,,,,,,,,,
37115,,,,,,,,,,,
37119,,,,,,,,,,,
37215,,,,,,,,,,,
37229,,,,,,,,,,,
37253,,,,,,,,,,,
37258,,,,,,,,,,,
37306,,,,,,,,,,,
37321,,,,,,,,,,,
37363,,,,,,,,,,,
37364,,,,,,,,,,,0000-00-00 00:00:00
37407,,,,,,,,,,,0000-00-00 00:00:00
37426,,,,,,,,,,,
37456,,,,,,,,,,,
37477,,,,,,,,,,,
37501,,,,,,,,,,,
37515,,,,,,,,,,,
37572,,,,,,,,,,,
37589,,,,,,,,,,,
37636,,,,,,,,,,,
37660,,,,,,,,,,,
37829,,,,,,,,,,,
37835,,,,,,,,,,,
37848,,,,,,,,,,,
37853,,,,,,,,,,,
37862,,,,,,,,,,,
37863,,,,,,,,,,,
37869,,,,,,,,,,,
37870,,,,,,,,,,,
37886,,,,,,,,,,,
37918,,,,,,,,,,,
37930,,,,,,,,,,,
37931,,,,,,,,,,,
37934,,,,,,,,,,,
37938,,,,,,,,,,,
37956,,,,,,,,,,,
37957,,,,,,,,,,,
